ID,Vulnerability description,Location,Module,Type,Threat,Time,Attack surfaces,Skills,US EPA size classifications,SAE international level,Car models
58,XX enterprise automobile APP has data leakage vulnerabilities,Outside-vehicle,APP,Information leakage,High,2024-3-8,3,Traffic analysis,Mid-Size car,l2,China
59,XX enterprise automotive IVI Local Power Retain Vulnerability,In-vehicle,IVI,Privilege escalation,Low,2024-3-8,1,Penetration testing,Mid-Size car,l2,China
60,XX enterprise automotive Car owner information is more authorized to read vulnerabilities,Outside-vehicle,APP,Unauthorized accessing,Low,2024-3-8,3,Traffic analysis,Mid-Size car,l2,German
61,XX enterprise Car Keyless Starters Starts Reessor Attack,In-vehicle,Radio,Relay,Medium,2024-3-8,2,Signal interception,Mid-Size car,l2,German
62,XX enterprise automotive Software Installation Protection bypasses,In-vehicle,IVI,Arbitrary software installation,Low,2024-3-8,1,Reverse engineering,Mid-Size car,l2,China
63,XX enterprise automobile System permissions command execute,In-vehicle,IVI,Privilege escalation,Low,2024-3-7,1,Penetration testing,Large car,l2,China
64,XX enterprise automobile Cloud Platform has information leakage loopholes,Outside-vehicle,Cloud platform,Information leakage,Low,2024-3-7,3,Penetration testing,Mid-Size car,l2,German
65,XX enterprise automobile System permissions command execute vulnerability 2,In-vehicle,IVI,Privilege escalation,Low,2024-3-7,1,Penetration testing,Large car,l2,China
66,XX enterprise automobile MIDAS Management Platform's front -end logic error returns to mouth order,Outside-vehicle,Cloud platform,Information leakage,Low,2024-3-7,3,Penetration testing,Standard SUV,L2,China
67,XX enterprise automobile DNS Reject Service (CVE-2017-14496),In-vehicle,IVI,DoS,Low,2024-3-7,1,Port scanning,Standard SUV,l3,China
68,XX enterprise automobile Internal Network has a weak password for ROOT SSH,In-vehicle,ECU,Weak password,Medium,2024-3-7,1,Port scanning,Mid-Size car,l2,China
69,XX enterprise automobile DNS Reject Service (CVE-2017-14495),In-vehicle,IVI,DoS,Low,2024-3-7,1,Port scanning,Standard SUV,l3,China
70,XX enterprise automobile invited a lot of invitation to record information leakage vulnerabilities,Outside-vehicle,APP,Information leakage,Low,2024-3-7,3,Traffic analysis,Mid-Size car,l2,China
71,XX enterprise automobile's large amount of shopping car information leakage loopholes,Outside-vehicle,APP,Information leakage,Low,2024-3-7,3,Traffic analysis,Mid-Size car,l2,China
72,XX enterprise automobile Extreme Power and Mysterious Added Shopping Cars Commodity Vulnerability,Outside-vehicle,APP,Unauthorized accessing,Low,2024-3-7,3,Traffic analysis,Mid-Size car,l2,China
73,XX enterprise automobile's large amount of power users pay attention to vulnerabilities,Outside-vehicle,APP,Unauthorized accessing,Low,2024-3-7,3,Traffic analysis,Mid-Size car,l2,China
74,XX enterprise automobile FOTA Management System has SQL injection of admin permissions,Outside-vehicle,Cloud platform,SQL injection,Low,2024-3-6,3,Penetration testing,Standard SUV,L2,China
75,XX enterprise automobile Literary Service Permanent Leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2024-3-6,3,Penetration testing,Standard SUV,L2,China
76,XX enterprise automobile APP has data leakage vulnerabilities,Outside-vehicle,APP,Information leakage,Medium,2024-3-6,3,Traffic analysis,Mid-Size car,l2,China
77,XX enterprise automobile APP has data leakage vulnerabilities,Outside-vehicle,APP,Information leakage,Low,2024-3-6,3,Traffic analysis,Standard SUV,l3,China
78,XX enterprise automobile APP exists in Content Provider SQL Injecting 10,In-vehicle,IVI,SQL injection,Medium,2024-3-6,1,Penetration testing,Large car,l2,China
79,XX enterprise automotive APP exists in the Content Provider SQL injection 9,In-vehicle,IVI,SQL injection,Medium,2024-3-6,1,Penetration testing,Large car,l2,China
80,XX enterprise automobile APP exists in Content Provider SQL injection 8,In-vehicle,IVI,SQL injection,Medium,2024-3-6,1,Penetration testing,Large car,l2,China
81,XX enterprise automobile APP exists in Content Provider SQL injection 7,In-vehicle,IVI,SQL injection,Medium,2024-3-6,1,Penetration testing,Large car,l2,China
82,XX enterprise automotive APP exists in Content Provider SQL injection 6,In-vehicle,IVI,SQL injection,Medium,2024-3-6,1,Penetration testing,Large car,l2,China
83,XX enterprise automobile APP exists in Content Provider SQL injection 5,In-vehicle,IVI,SQL injection,Medium,2024-3-6,1,Penetration testing,Large car,l2,China
84,XX enterprise automobile APP exists in Content Provider SQL Injecting 4,In-vehicle,IVI,SQL injection,Medium,2024-3-6,1,Penetration testing,Large car,l2,China
85,XX enterprise automobile APP exists in Content Provider SQL injection 3,In-vehicle,IVI,SQL injection,Medium,2024-3-6,1,Penetration testing,Large car,l2,China
86,XX enterprise automotive APP exists in Content Provider SQL injection 2,In-vehicle,IVI,SQL injection,Medium,2024-3-6,1,Penetration testing,Large car,l2,China
87,XX enterprise automobile APP exists in Content Provider SQL injection 1,In-vehicle,IVI,SQL injection,Medium,2024-3-6,1,Penetration testing,Large car,l2,China
88,XX enterprise car can install any APK,In-vehicle,IVI,Arbitrary software installation,Medium,2024-3-6,1,Reverse engineering,Mid-Size car,l2,China
89,XX enterprise automobile vehicle safety controller integer overflow,In-vehicle,ECU,Integer overflow,High,2024-3-6,1,Penetration testing,Mid-Size car,l2,America
90,XX enterprise automobile can turn on the ADB debugging mode through the central touch screen,In-vehicle,IVI,Unauthorized accessing,Medium,2024-3-6,1,Penetration testing,Mid-Size car,l2,China
91,XX enterprise automobile can turn on the engineering mode through the central touch screen,In-vehicle,IVI,Unauthorized accessing,Medium,2024-3-6,1,Penetration testing,Mid-Size car,l2,China
92,XX enterprise automobile System permissions command execute vulnerabilities,In-vehicle,IVI,Privilege escalation,Low,2024-3-6,1,Penetration testing,Large car,l2,China
93,XX corporate platform FAWIVI-SFTP-PUBLIC-sit.faw.cn permissions obtained,Outside-vehicle,APP,Information leakage,High,2024-3-6,3,Penetration testing,Mid-Size car,l2,China
94,XX corporate platform FAWIVI-SFTP-PUBLIC- UAT.FAW.CN permissions acquisition,Outside-vehicle,APP,Information leakage,High,2024-3-6,3,Penetration testing,Mid-Size car,l2,China
95,XX enterprise automotive Server Fawivi-SFTP- PUBLIC.FAW.CN permissions acquisition,Outside-vehicle,APP,Information leakage,High,2024-3-6,3,Penetration testing,Mid-Size car,l2,China
96,XX enterprise automotive Server Fawivi-SFTP- PUBLIC.FAW.CN permissions acquisition,Outside-vehicle,APP,Information leakage,High,2024-3-6,3,Penetration testing,Mid-Size car,l2,China
97,XX enterprise automotive Communication Certificate Key Leakage Vulnerability,Outside-vehicle,APP,Information leakage,Low,2024-3-5,3,Traffic analysis,Mid-Size car,l2,China
98,XX enterprise automotive Machine System FTP permissions obtain vulnerability,In-vehicle,ECU,Weak password,Low,2024-3-5,1,Port scanning,Mid-Size car,l2,China
99,XX enterprise automotive Motor System permissions obtain vulnerability,In-vehicle,ECU,Weak password,Medium,2024-3-5,1,Port scanning,Mid-Size car,l2,China
100,XX enterprise Car Keyless Starters Starts Reessor Attack,In-vehicle,Radio,Relay,Medium,2024-3-5,2,Signal interception,Mid-Size car,l2,China
101,XX enterprise automobile Open Engineering Mode and ADB mode,In-vehicle,IVI,Unauthorized accessing,Medium,2024-3-5,1,Port scanning,Mid-Size car,l2,China
102,XX enterprise automobile Open Engineering Mode,In-vehicle,IVI,Unauthorized accessing,Medium,2024-3-5,1,Port scanning,Mid-Size car,l2,China
103,XX enterprise automobile Unable to bypass the permissions,In-vehicle,IVI,Unauthorized accessing,Low,2024-3-5,1,Penetration testing,Large car,l2,China
104,XX enterprise automotive vehicle has any files to read vulnerabilities,In-vehicle,IVI,File accessing,Low,2024-3-5,1,Penetration testing,Standard SUV,L2,China
105,XX enterprise car user vehicle information is more right to obtain loopholes,Outside-vehicle,APP,Unauthorized accessing,Medium,2024-3-5,3,Traffic analysis,Mid-Size car,l2,China
106,XX enterprise automotive APP Local Make Lottery Vulnerability,In-vehicle,IVI,Privilege escalation,Medium,2024-3-5,1,Penetration testing,Standard SUV,l3,China
107,XX enterprise automotive User Sensitive Information Edit Power Get Vulnerability,Outside-vehicle,APP,Unauthorized accessing,Medium,2024-3-5,3,Traffic analysis,Mid-Size car,l2,China
108,XX enterprise automobile OSS key leak loopholes,Outside-vehicle,Cloud platform,Information leakage,High,2024-3-5,3,Penetration testing,Mid-Size car,l2,China
109,XX enterprise automobile ADB authorization platform getshell,Outside-vehicle,Cloud platform,Identity spoofing,Medium,2024-3-5,3,Penetration testing,Standard SUV,l3,China
110,XX enterprise automobile DNS Reject Service (CVE-2017-14493),In-vehicle,IVI,DoS,Low,2024-3-5,1,Port scanning,Large car,l2,China
111,XX enterprise automobile DNS Reject Service (CVE-2017-14496),In-vehicle,IVI,DoS,Low,2024-3-4,1,Port scanning,Large car,l2,China
112,XX enterprise automobile DNS Reject Service,In-vehicle,IVI,DoS,Low,2024-3-4,1,Port scanning,Large car,l2,China
113,XX enterprise automobile IVI exists in GPS deception,In-vehicle,ECU,GPS spoofing,Low,2024-2-27,1,Signal interception,Compact car,l2,China
114,XX enterprise automobile IVI has LAN hijacking,In-vehicle,IVI,Traffic hijacking,Low,2024-2-27,1,Traffic analysis,Compact car,l2,China
115,XX enterprise automobile IVI does not use TLS,In-vehicle,IVI,Traffic hijacking,Low,2024-2-27,1,Traffic analysis,Compact car,l2,China
116,XX enterprise automobile IVI Existence of Car Operating System RCE,In-vehicle,IVI,Command injection,Low,2024-2-27,1,Penetration testing,Compact car,l2,China
117,XX enterprise automobile Existing Conditions Competitive Risk,In-vehicle,T-Box,DoS,Medium,2024-2-27,1,Reverse engineering,Mid-Size car,l2,America
118,XX enterprise automotive IVI System Cache Express Risk,In-vehicle,IVI,Integer overflow,High,2024-2-27,1,Penetration testing,Mid-Size car,l2,America
119,XX enterprise automobile Testing Platform Weak Password and Shiro Vulnerability,Outside-vehicle,Cloud platform,Weak password,High,2024-2-23,3,Penetration testing,Small SUV,l2,China
120,XX enterprise automobile HARBOR Test Environmental Public Network Leakage Mirror,Outside-vehicle,Cloud platform,Information leakage,High,2024-2-23,3,Penetration testing,Small SUV,l2,China
121,The XX corporate automobile test environment exists in the NACOS platform certification to bypass the vulnerability and leak AKSK,Outside-vehicle,Cloud platform,Identity spoofing,Critical,2024-2-23,3,Penetration testing,Small SUV,l2,China
122,XX enterprise automobile has a loophole in logical logic errors,In-vehicle,IVI,DoS,low,2024-1-26,1,Reverse engineering,-,-,China
123,XX enterprise automotive vehicle Browser has a configuration error vulnerability,In-vehicle,IVI,DoS,low,2024-1-26,1,Reverse engineering,-,-,China
124,XX enterprise automotive AKSK leaked leading to cloud hosting to take over,Outside-vehicle,APP,Information leakage,High,2024-1-26,3,Traffic analysis,-,-,China
125,XX enterprise automobile Website SQL Inject Vulnerability,Outside-vehicle,Cloud platform,SQL injection,Medium,2024-1-24,3,Penetration testing,-,-,China
126,XX enterprise automotive Test Certificate Existence of Permanent Power Enhancement Vulnerability,In-vehicle,ECU,Information leakage,low,2024-1-18,1,Traffic analysis,Large car,l2,China
127,XX enterprise automotive Test Certificate Existence of Permanent Power Enhancement Vulnerability,In-vehicle,T-Box,Privilege escalation,low,2024-1-18,3,Traffic analysis,-,-,China
128,XX enterprise automobile L7 trunk can operate loopholes,In-vehicle,Radio,Relay,High,2024-1-18,1,Signal interception,Small SUV,l2,China
129,XX enterprise automotive vehicle CANFD bus unauthorized visit,Network,Network,Unauthorized accessing,High,2024-1-18,1,Signal interception,Standard SUV,L2,China
130,XX enterprise automobile has the existence of Alibaba Cloud OSS storage key to leak loopholes,Outside-vehicle,Cloud platform,Information leakage,High,2024-1-18,3,Penetration testing,Small SUV,l2,China
131,XX enterprise automobile Existing Cloud Interface Signature Algorithm bypass the vulnerability,Outside-vehicle,Cloud platform,Identity spoofing,High,2024-1-18,3,Penetration testing,Small SUV,l2,China
132,XX enterprise automobile TBOX has arbitrarily control vehicle vulnerabilities,In-vehicle,T-Box,Command injection,High,2024-1-18,1,Penetration testing,Small SUV,l2,German
133,XX enterprise automobile Extraorded to Batch Cars Control,Outside-vehicle,Cloud platform,Unauthorized accessing,Critical,2024-1-18,3,Penetration testing,Large car,l2,China
134,XX enterprise car car key signal can be replaced,In-vehicle,Radio,replay,Critical,2024-1-18,2,Signal interception,Compact car,l2,China
135,XX enterprise Platform Nacostoken.secret.key default configuration management,Outside-vehicle,Cloud platform,Information leakage,High,2024-1-16,3,Penetration testing,Standard SUV,l2,China
136,XX enterprise automotive Open Source Test Platform Weak Exit Order,Outside-vehicle,Cloud platform,Weak password,Medium,2024-1-16,3,Penetration testing,Small SUV,l2,China
137,XX enterprise automobile Website weak passage loopholes,Outside-vehicle,Cloud platform,Weak password,Low,2024-1-16,3,Penetration testing,-,-,China
138,XX enterprise automobile and vehicle Network Operation Registration Response Response obtained verification code vulnerabilities,Outside-vehicle,APP,Unauthorized accessing,Low,2024-1-15,3,Traffic analysis,-,-,China
139,XX enterprise automobile SMS Blasting Vulnerability,Outside-vehicle,APP,Unauthorized accessing,Low,2024-1-12,3,Traffic analysis,-,-,China
140,XX enterprise automotive System Unauthorized Vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,High,2024-1-12,3,Penetration testing,Small SUV,l2,China
141,XX enterprise automobile Get the Management of Dealer's Management Backstage Weak Speaking Order,Outside-vehicle,Cloud platform,Weak password,Medium,2024-1-12,3,Penetration testing,-,-,China
142,XX enterprise automobile NACOS weak password,Outside-vehicle,Cloud platform,Weak password,Critical,2024-1-11,3,Penetration testing,Small SUV,l2,China
143,XX enterprise automobile NOSQL injection vulnerability,Outside-vehicle,Cloud platform,SQL injection,High,2024-1-11,3,Penetration testing,Small SUV,l2,China
144,XX enterprise automotive Platform RCE,Outside-vehicle,Cloud platform,Command injection,Medium,2024-1-10,3,Penetration testing,-,-,China
145,XX enterprise automobile vehicle Command Execution,Outside-vehicle,Cloud platform,Information leakage,Medium,2024-1-9,3,Penetration testing,Minicompact car,l1,China
146,XX enterprise automobile TBOX has a buffer overflow problem,In-vehicle,T-Box,Buffer overflow,Low,2024-1-9,1,Penetration testing,Compact car,l2,China
147,XX enterprise automotive vehicle Information Management System SQL Injecting Vulnerability,Outside-vehicle,Cloud platform,SQL injection,High,2024-1-8,3,Penetration testing,Minicompact car,l1,China
148,XX enterprise automotive Products have error loopholes in configuration,In-vehicle,IVI,DoS,low,2024-1-5,1,Reverse engineering,-,-,China
149,XX enterprise automobile WPS Management Platform weak order order,Outside-vehicle,Cloud platform,Weak password,Low,2024-1-5,3,Penetration testing,-,-,China
150,XX enterprise automotive Backstage weak order order,Outside-vehicle,Cloud platform,Weak password,Low,2024-1-3,3,Penetration testing,-,-,China
151,XX enterprise automotive Mobile Management Platform Weak Word Order,Outside-vehicle,Cloud platform,Weak password,Low,2024-1-3,3,Penetration testing,-,-,China
152,XX enterprise automobile exists in URL jump vulnerability,Outside-vehicle,Cloud platform,Phishing,Low,2023-12-29,3,Penetration testing,-,-,China
153,XX enterprise automobile Company Existing SQL injection,Outside-vehicle,Cloud platform,SQL injection,Low,2023-12-29,3,Penetration testing,-,-,China
154,There are command execution vulnerabilities in the XX enterprise car platform,Outside-vehicle,Cloud platform,Command injection,Medium,2023-12-29,3,Penetration testing,-,-,China
155,XX enterprise automobile has pan -micro -information leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-29,3,Penetration testing,-,-,China
156,XX enterprise automobile any file read,Outside-vehicle,Cloud platform,File download,Low,2023-12-29,3,Penetration testing,-,-,China
157,XX enterprise automotive System Administrator weak password,Outside-vehicle,Cloud platform,Weak password,Low,2023-12-29,3,Penetration testing,-,-,China
158,XX enterprise automobile SpringBootenv Capacity Vulnerability,Outside-vehicle,Cloud platform,Deserialization,Low,2023-12-29,3,Penetration testing,-,-,China
159,XX enterprise automobile Management Center Rabbit has a weak password,Outside-vehicle,Cloud platform,Weak password,Low,2023-12-29,3,Penetration testing,-,-,China
160,XX enterprise's website has XSS vulnerabilities,Outside-vehicle,Cloud platform,XSS,Low,2023-12-29,3,Penetration testing,-,-,China
161,XX enterprise's website has XSS vulnerabilities,Outside-vehicle,Cloud platform,XSS,Low,2023-12-29,3,Penetration testing,-,-,China
162,XX enterprise's website has XSS vulnerabilities,Outside-vehicle,Cloud platform,XSS,Low,2023-12-29,3,Penetration testing,-,-,China
163,XX enterprise's website has XSS vulnerabilities,Outside-vehicle,Cloud platform,XSS,Low,2023-12-29,3,Penetration testing,-,-,China
164,XX enterprise's website has XSS vulnerabilities,Outside-vehicle,Cloud platform,XSS,Low,2023-12-29,3,Penetration testing,-,-,China
165,XX enterprise's website has XSS vulnerabilities,Outside-vehicle,Cloud platform,XSS,Low,2023-12-29,3,Penetration testing,-,-,China
166,XX enterprise automobile has unauthorized access vulnerabilities,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-12-29,3,Penetration testing,-,-,China
167,XX enterprise Database Management System is not authorized to visit,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-12-29,3,Penetration testing,-,-,China
168,XX enterprise SHIRO Revitalization,Outside-vehicle,Cloud platform,Command injection,Low,2023-12-29,3,Penetration testing,-,-,China
169,XX enterprise local documents include,Outside-vehicle,Cloud platform,File accessing,Low,2023-12-29,3,Penetration testing,-,-,China
170,XX enterprise automotive Mall System has the right to delete any user shopping car vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-12-29,3,Penetration testing,-,-,China
171,XX enterprise automotive Program has sessionkey leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-29,3,Penetration testing,-,-,China
172,XX enterprise automobile's website has XSS vulnerabilities,Outside-vehicle,Cloud platform,XSS,Low,2023-12-29,3,Penetration testing,-,-,China
173,XX companies exist in any user registration \ modify password \ login,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023-12-29,3,Penetration testing,-,-,China
174,XX companies exist in the right right to view the license plate number information user information user photos,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-12-29,3,Penetration testing,-,-,China
175,There is a weak passage in the parking system of the XX enterprise,Outside-vehicle,Cloud platform,Weak password,Low,2023-12-29,3,Penetration testing,-,-,China
176,XX enterprise Mini Program has any file upload loopholes,Outside-vehicle,Cloud platform,Arbitrary software installation,Medium,2023-12-29,3,Penetration testing,-,-,China
177,XX companies exist in sessionkey leakage,Outside-vehicle,Cloud platform,Information leakage,Medium,2023-12-29,3,Penetration testing,-,-,China
178,XX enterprise Mini Program has any account login,Outside-vehicle,Cloud platform,Identity spoofing,Low,2023-12-29,3,Penetration testing,-,-,China
179,XX companies exist in sessionkey leakage vulnerabilities,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-29,3,Penetration testing,-,-,China
180,XX companies exist in any mobile phone number binding vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-12-29,3,Penetration testing,-,-,China
